,name,file
0,Trebuchet MS,C:\Windows\Fonts\trebucbd.ttf
1,Mistral,C:\Windows\Fonts\MISTRAL.TTF
2,Gloucester MT Extra Condensed,C:\Windows\Fonts\GLECB.TTF
3,Hancom Gothic,C:\Windows\Fonts\Hancom Gothic Bold.ttf
4,Chiller,C:\Windows\Fonts\CHILLER.TTF
5,Edwardian Script ITC,C:\Windows\Fonts\ITCEDSCR.TTF
6,Bradley Hand ITC,C:\Windows\Fonts\BRADHITC.TTF
7,Segoe UI,C:\Windows\Fonts\seguisb.ttf
8,Perpetua Titling MT,C:\Windows\Fonts\PERTIBD.TTF
9,Trebuchet MS,C:\Windows\Fonts\trebucbi.ttf
10,Poor Richard,C:\Windows\Fonts\POORICH.TTF
11,Rockwell Condensed,C:\Windows\Fonts\ROCCB___.TTF
12,Goudy Old Style,C:\Windows\Fonts\GOUDOSI.TTF
13,Verdana,C:\Windows\Fonts\verdana.ttf
14,Berlin Sans FB,C:\Windows\Fonts\BRLNSB.TTF
15,Gigi,C:\Windows\Fonts\GIGI.TTF
16,Century Gothic,C:\Windows\Fonts\GOTHICI.TTF
17,Segoe UI,C:\Windows\Fonts\segoeui.ttf
18,Yu Gothic,C:\Windows\Fonts\YuGothR.ttc
19,Calibri,C:\Windows\Fonts\calibri.ttf
20,Haettenschweiler,C:\Windows\Fonts\HATTEN.TTF
21,Consolas,C:\Windows\Fonts\consolab.ttf
22,Palace Script MT,C:\Windows\Fonts\PALSCRI.TTF
23,Tw Cen MT,C:\Windows\Fonts\TCBI____.TTF
24,Rockwell,C:\Windows\Fonts\ROCKBI.TTF
25,Candara,C:\Windows\Fonts\Candaraz.ttf
26,Corbel,C:\Windows\Fonts\corbelz.ttf
27,Consolas,C:\Windows\Fonts\consola.ttf
28,Cambria,C:\Windows\Fonts\cambriaz.ttf
29,New Gulim,C:\Windows\Fonts\NGULIM.TTF
30,Arial,C:\Windows\Fonts\arialbd.ttf
31,Goudy Stout,C:\Windows\Fonts\GOUDYSTO.TTF
32,Franklin Gothic Heavy,C:\Windows\Fonts\FRAHV.TTF
33,HYGothic-Extra,C:\Windows\Fonts\H2GTRE.TTF
34,Vladimir Script,C:\Windows\Fonts\VLADIMIR.TTF
35,Arial,C:\Windows\Fonts\ariali.ttf
36,Candara,C:\Windows\Fonts\Candarai.ttf
37,Franklin Gothic Demi,C:\Windows\Fonts\FRADMIT.TTF
38,Century Schoolbook,C:\Windows\Fonts\SCHLBKBI.TTF
39,Leelawadee UI,C:\Windows\Fonts\LeelaUIb.ttf
40,Bodoni MT,C:\Windows\Fonts\BOD_I.TTF
41,Segoe MDL2 Assets,C:\Windows\Fonts\segmdl2.ttf
42,Segoe UI,C:\Windows\Fonts\seguisbi.ttf
43,HCR Dotum Ext,C:\Windows\Fonts\HANDotumExt.ttf
44,Rockwell Extra Bold,C:\Windows\Fonts\ROCKEB.TTF
45,Lucida Fax,C:\Windows\Fonts\LFAXD.TTF
46,Magic R,C:\Windows\Fonts\HMKMMAG.TTF
47,Lucida Sans Typewriter,C:\Windows\Fonts\LTYPEBO.TTF
48,Nirmala UI,C:\Windows\Fonts\NirmalaS.ttf
49,Goudy Old Style,C:\Windows\Fonts\GOUDOS.TTF
50,Sitka Small,C:\Windows\Fonts\SitkaI.ttc
51,Britannic Bold,C:\Windows\Fonts\BRITANIC.TTF
52,Verdana,C:\Windows\Fonts\verdanaz.ttf
53,Batang,C:\Windows\Fonts\batang.ttc
54,Ebrima,C:\Windows\Fonts\ebrima.ttf
55,MS Outlook,C:\Windows\Fonts\OUTLOOK.TTF
56,Arial Unicode MS,C:\Windows\Fonts\ARIALUNI.TTF
57,Rockwell,C:\Windows\Fonts\ROCKB.TTF
58,Cooper Black,C:\Windows\Fonts\COOPBL.TTF
59,HYSinMyeongJo-Medium,C:\Windows\Fonts\H2MJSM.TTF
60,Bodoni MT,C:\Windows\Fonts\BOD_CI.TTF
61,Bookman Old Style,C:\Windows\Fonts\BOOKOSB.TTF
62,Times New Roman,C:\Windows\Fonts\timesbi.ttf
63,Lucida Sans Typewriter,C:\Windows\Fonts\LTYPEO.TTF
64,Ravie,C:\Windows\Fonts\RAVIE.TTF
65,Segoe UI,C:\Windows\Fonts\segoeuil.ttf
66,Malgun Gothic,C:\Windows\Fonts\malgunsl.ttf
67,HYShortSamul-Medium,C:\Windows\Fonts\H2SA1M.TTF
68,Times New Roman,C:\Windows\Fonts\timesi.ttf
69,Bookman Old Style,C:\Windows\Fonts\BOOKOS.TTF
70,Gadugi,C:\Windows\Fonts\gadugi.ttf
71,Meiryo,C:\Windows\Fonts\MEIRYOB.TTC
72,Calibri,C:\Windows\Fonts\calibrib.ttf
73,SimSun,C:\Windows\Fonts\simsun.ttc
74,Bodoni MT,C:\Windows\Fonts\BOD_CB.TTF
75,Wingdings 2,C:\Windows\Fonts\WINGDNG2.TTF
76,Bell MT,C:\Windows\Fonts\BELL.TTF
77,Footlight MT Light,C:\Windows\Fonts\FTLTLT.TTF
78,Leelawadee UI,C:\Windows\Fonts\LeelUIsl.ttf
79,Gabriola,C:\Windows\Fonts\Gabriola.ttf
80,Californian FB,C:\Windows\Fonts\CALIFB.TTF
81,Maiandra GD,C:\Windows\Fonts\MAIAN.TTF
82,Garamond,C:\Windows\Fonts\GARA.TTF
83,Hancom Gothic,C:\Windows\Fonts\Hancom Gothic Regular.ttf
84,Lucida Fax,C:\Windows\Fonts\LFAX.TTF
85,Wide Latin,C:\Windows\Fonts\LATINWD.TTF
86,Wingdings 3,C:\Windows\Fonts\WINGDNG3.TTF
87,Eras Light ITC,C:\Windows\Fonts\ERASLGHT.TTF
88,Gill Sans MT,C:\Windows\Fonts\GIL_____.TTF
89,Courier New,C:\Windows\Fonts\cour.ttf
90,Corbel,C:\Windows\Fonts\corbeli.ttf
91,Microsoft Himalaya,C:\Windows\Fonts\himalaya.ttf
92,Palatino Linotype,C:\Windows\Fonts\pala.ttf
93,Bodoni MT,C:\Windows\Fonts\BOD_BLAR.TTF
94,Arial,C:\Windows\Fonts\ariblk.ttf
95,Garamond,C:\Windows\Fonts\GARABD.TTF
96,HCR Batang,C:\Windows\Fonts\HANBatangB.ttf
97,Segoe UI,C:\Windows\Fonts\segoeuib.ttf
98,Parchment,C:\Windows\Fonts\PARCHM.TTF
99,Comic Sans MS,C:\Windows\Fonts\comicbd.ttf
100,Segoe UI,C:\Windows\Fonts\seguili.ttf
101,MS Reference Specialty,C:\Windows\Fonts\REFSPCL.TTF
102,Century Schoolbook,C:\Windows\Fonts\SCHLBKB.TTF
103,Courier New,C:\Windows\Fonts\courbi.ttf
104,Gadugi,C:\Windows\Fonts\gadugib.ttf
105,Constantia,C:\Windows\Fonts\constanz.ttf
106,Bahnschrift,C:\Windows\Fonts\bahnschrift.ttf
107,Papyrus,C:\Windows\Fonts\PAPYRUS.TTF
108,Microsoft Sans Serif,C:\Windows\Fonts\micross.ttf
109,Bernard MT Condensed,C:\Windows\Fonts\BERNHC.TTF
